07-04-2026 13:27:58 | GET | cafeteria-api/produtos
07-04-2026 13:29:36 | GET | cafeteria-api/categorias
07-04-2026 13:29:38 | GET | cafeteria-api/categorias
07-04-2026 13:29:42 | GET | cafeteria-api/categorias
07-04-2026 13:29:44 | GET | cafeteria-api/categorias
07-04-2026 13:29:45 | GET | cafeteria-api/categorias
07-04-2026 13:29:52 | GET | cafeteria-api/produtos
07-04-2026 13:29:53 | GET | cafeteria-api/produtos
07-04-2026 13:31:47 | GET | cafeteria-api/categorias
07-04-2026 13:31:47 | GET | cafeteria-api/produtos
07-04-2026 13:31:55 | GET | cafeteria-api/categorias
07-04-2026 13:31:55 | GET | cafeteria-api/produtos
07-04-2026 13:31:57 | GET | cafeteria-api/categorias
07-04-2026 13:31:57 | GET | cafeteria-api/produtos
07-04-2026 13:32:24 | GET | cafeteria-api/categorias
07-04-2026 13:32:24 | GET | cafeteria-api/produtos
07-04-2026 13:32:27 | GET | cafeteria-api/categorias
07-04-2026 13:32:27 | GET | cafeteria-api/produtos
07-04-2026 13:32:32 | GET | cafeteria-api/categorias
07-04-2026 13:32:32 | GET | cafeteria-api/produtos
07-04-2026 13:32:36 | GET | cafeteria-api/categorias
07-04-2026 13:32:36 | GET | cafeteria-api/produtos
07-04-2026 13:32:42 | GET | cafeteria-api/categorias
07-04-2026 13:32:42 | GET | cafeteria-api/produtos
07-04-2026 13:32:52 | GET | cafeteria-api/categorias
07-04-2026 13:32:52 | GET | cafeteria-api/produtos
07-04-2026 13:32:54 | GET | cafeteria-api/categorias
07-04-2026 13:32:54 | GET | cafeteria-api/produtos
07-04-2026 13:32:56 | GET | cafeteria-api/categorias
07-04-2026 13:32:56 | GET | cafeteria-api/produtos
07-04-2026 13:33:35 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:33:35 | POST | cafeteria-api/produtos
07-04-2026 13:33:35 | GET | cafeteria-api/categorias
07-04-2026 13:33:35 | GET | cafeteria-api/produtos
07-04-2026 13:33:43 | GET | cafeteria-api/categorias
07-04-2026 13:33:51 | OPTIONS | cafeteria-api/categorias
07-04-2026 13:33:51 | POST | cafeteria-api/categorias
07-04-2026 13:33:51 | GET | cafeteria-api/categorias
07-04-2026 13:33:53 | OPTIONS | cafeteria-api/categorias/4
07-04-2026 13:33:53 | DELETE | cafeteria-api/categorias/4
07-04-2026 13:33:53 | GET | cafeteria-api/categorias
07-04-2026 13:33:55 | GET | cafeteria-api/categorias
07-04-2026 13:33:55 | GET | cafeteria-api/produtos
07-04-2026 13:35:05 | GET | cafeteria-api/categorias
07-04-2026 13:35:05 | GET | cafeteria-api/produtos
07-04-2026 13:35:20 | GET | cafeteria-api/categorias
07-04-2026 13:35:20 | GET | cafeteria-api/produtos
07-04-2026 13:35:27 | GET | cafeteria-api/categorias
07-04-2026 13:35:27 | GET | cafeteria-api/produtos
07-04-2026 13:35:36 | GET | cafeteria-api/categorias
07-04-2026 13:35:36 | GET | cafeteria-api/produtos
07-04-2026 13:35:38 | GET | cafeteria-api/categorias
07-04-2026 13:35:38 | GET | cafeteria-api/produtos
07-04-2026 13:35:55 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:35:55 | POST | cafeteria-api/produtos
07-04-2026 13:35:55 | GET | cafeteria-api/categorias
07-04-2026 13:35:55 | GET | cafeteria-api/produtos
07-04-2026 13:36:45 | GET | cafeteria-api/categorias
07-04-2026 13:36:45 | GET | cafeteria-api/produtos
07-04-2026 13:36:55 | OPTIONS | cafeteria-api/produtos/4
07-04-2026 13:36:55 | DELETE | cafeteria-api/produtos/4
07-04-2026 13:36:55 | GET | cafeteria-api/categorias
07-04-2026 13:36:55 | GET | cafeteria-api/produtos
07-04-2026 13:37:52 | GET | cafeteria-api/categorias
07-04-2026 13:37:52 | GET | cafeteria-api/produtos
07-04-2026 13:38:16 | GET | cafeteria-api/categorias
07-04-2026 13:38:16 | GET | cafeteria-api/produtos
07-04-2026 13:38:21 | GET | cafeteria-api/categorias
07-04-2026 13:38:21 | GET | cafeteria-api/produtos
07-04-2026 13:38:37 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:38:37 | POST | cafeteria-api/produtos
07-04-2026 13:38:37 | GET | cafeteria-api/categorias
07-04-2026 13:38:37 | GET | cafeteria-api/produtos
07-04-2026 13:38:42 | OPTIONS | cafeteria-api/produtos/5
07-04-2026 13:38:42 | DELETE | cafeteria-api/produtos/5
07-04-2026 13:38:42 | GET | cafeteria-api/categorias
07-04-2026 13:38:42 | GET | cafeteria-api/produtos
07-04-2026 13:40:00 | GET | cafeteria-api/categorias
07-04-2026 13:40:01 | GET | cafeteria-api/categorias
07-04-2026 13:40:05 | GET | cafeteria-api/categorias
07-04-2026 13:40:13 | POST | cafeteria-api/categorias
07-04-2026 13:40:13 | GET | cafeteria-api/categorias
07-04-2026 13:40:20 | GET | cafeteria-api/categorias
07-04-2026 13:40:22 | GET | cafeteria-api/categorias
07-04-2026 13:40:24 | OPTIONS | cafeteria-api/categorias/5
07-04-2026 13:40:24 | DELETE | cafeteria-api/categorias/5
07-04-2026 13:40:24 | GET | cafeteria-api/categorias
07-04-2026 13:40:25 | GET | cafeteria-api/categorias
07-04-2026 13:40:41 | GET | cafeteria-api/produtos
07-04-2026 13:40:45 | GET | cafeteria-api/produtos
07-04-2026 13:40:47 | GET | cafeteria-api/categorias
07-04-2026 13:40:49 | GET | cafeteria-api/produtos
07-04-2026 13:41:02 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:41:02 | POST | cafeteria-api/produtos
07-04-2026 13:41:02 | GET | cafeteria-api/produtos
07-04-2026 13:41:07 | OPTIONS | cafeteria-api/produtos/6
07-04-2026 13:41:07 | DELETE | cafeteria-api/produtos/6
07-04-2026 13:41:07 | GET | cafeteria-api/produtos
07-04-2026 13:44:02 | GET | cafeteria-api/produtos
07-04-2026 14:07:05 | GET | cafeteria-api/produtos
07-04-2026 16:44:08 | GET | cafeteria-api/categorias
07-04-2026 16:44:10 | GET | cafeteria-api/produtos
07-04-2026 16:44:12 | GET | cafeteria-api/categorias
07-04-2026 16:44:14 | GET | cafeteria-api/produtos
07-04-2026 16:44:15 | GET | cafeteria-api/categorias
07-04-2026 16:44:16 | GET | cafeteria-api/produtos
07-04-2026 16:44:19 | GET | cafeteria-api/categorias
07-04-2026 16:44:21 | GET | cafeteria-api/categorias
07-04-2026 16:44:21 | GET | cafeteria-api/produtos
07-04-2026 16:44:23 | GET | cafeteria-api/categorias
07-04-2026 16:44:37 | GET | cafeteria-api/categorias
07-04-2026 16:44:37 | GET | cafeteria-api/categorias
07-04-2026 16:44:39 | GET | cafeteria-api/categorias
07-04-2026 16:44:40 | GET | cafeteria-api/categorias
07-04-2026 16:45:08 | GET | cafeteria-api/produtos
07-04-2026 16:45:08 | GET | cafeteria-api/categorias
07-04-2026 16:58:50 | GET | cafeteria-api/categorias
07-04-2026 16:58:56 | GET | cafeteria-api/categorias
07-04-2026 16:58:58 | GET | cafeteria-api/categorias
07-04-2026 16:58:59 | GET | cafeteria-api/categorias
07-04-2026 16:59:12 | GET | cafeteria-api/categorias
07-04-2026 16:59:30 | GET | cafeteria-api/categorias
07-04-2026 16:59:41 | GET | cafeteria-api/categorias
07-04-2026 16:59:42 | GET | cafeteria-api/categorias
07-04-2026 16:59:56 | GET | cafeteria-api/categorias
07-04-2026 17:00:01 | GET | cafeteria-api/categorias
07-04-2026 17:00:06 | GET | cafeteria-api/categorias
07-04-2026 17:00:07 | GET | cafeteria-api/categorias
07-04-2026 17:00:17 | GET | cafeteria-api/categorias
07-04-2026 17:00:33 | GET | cafeteria-api/categorias
07-04-2026 17:00:36 | GET | cafeteria-api/categorias
07-04-2026 17:00:40 | GET | cafeteria-api/categorias
07-04-2026 17:00:50 | GET | cafeteria-api/categorias
07-04-2026 17:00:58 | GET | cafeteria-api/pedidos
07-04-2026 17:01:04 | GET | cafeteria-api/pedidos
07-04-2026 17:05:27 | GET | cafeteria-api/pedidos
07-04-2026 17:05:27 | GET | cafeteria-api/pedidos
07-04-2026 17:05:43 | GET | cafeteria-api/pedidos
07-04-2026 17:05:45 | GET | cafeteria-api/pedidos
07-04-2026 17:07:25 | GET | cafeteria-api/categorias
07-04-2026 17:07:26 | GET | cafeteria-api/pedidos
07-04-2026 17:07:47 | OPTIONS | cafeteria-api/pedidos
07-04-2026 17:07:47 | POST | cafeteria-api/pedidos
07-04-2026 17:07:47 | GET | cafeteria-api/pedidos
07-04-2026 17:08:54 | GET | cafeteria-api/pedidos
07-04-2026 18:46:54 | GET | cafeteria-api/pedidos
07-04-2026 18:47:07 | GET | cafeteria-api/pedidos
07-04-2026 18:47:19 | OPTIONS | cafeteria-api/pedidos
07-04-2026 18:47:19 | POST | cafeteria-api/pedidos
07-04-2026 18:47:20 | GET | cafeteria-api/pedidos
07-04-2026 19:07:27 | OPTIONS | cafeteria-api/pedidos
07-04-2026 19:07:27 | POST | cafeteria-api/pedidos
07-04-2026 19:07:27 | GET | cafeteria-api/pedidos
07-04-2026 19:07:31 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 19:07:32 | DELETE | cafeteria-api/pedidos/1
07-04-2026 19:07:32 | GET | cafeteria-api/pedidos
07-04-2026 19:07:43 | OPTIONS | cafeteria-api/pedidos
07-04-2026 19:07:43 | POST | cafeteria-api/pedidos
07-04-2026 19:07:43 | GET | cafeteria-api/pedidos
07-04-2026 19:07:45 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 19:07:45 | DELETE | cafeteria-api/pedidos/3
07-04-2026 19:07:45 | GET | cafeteria-api/pedidos
07-04-2026 19:12:45 | GET | cafeteria-api/pedidos
07-04-2026 19:12:52 | GET | cafeteria-api/pedidos
07-04-2026 19:13:31 | GET | cafeteria-api/pedidos
07-04-2026 19:19:03 | GET | cafeteria-api/pedidos
07-04-2026 19:37:57 | GET | cafeteria-api/pedidos
07-04-2026 19:38:10 | GET | cafeteria-api/pedidos
07-04-2026 19:38:17 | GET | cafeteria-api/pedidos
07-04-2026 19:38:23 | GET | cafeteria-api/pedidos
07-04-2026 19:38:25 | GET | cafeteria-api/pedidos
07-04-2026 19:38:25 | GET | cafeteria-api/pedidos
07-04-2026 19:38:28 | GET | cafeteria-api/pedidos
07-04-2026 19:38:29 | GET | cafeteria-api/pedidos
07-04-2026 19:38:37 | GET | cafeteria-api/categorias
07-04-2026 19:38:41 | GET | cafeteria-api/pedidos
07-04-2026 19:39:27 | GET | cafeteria-api/pedidos
07-04-2026 19:39:32 | GET | cafeteria-api/pedidos
07-04-2026 19:39:41 | GET | cafeteria-api/pedidos
07-04-2026 19:39:55 | GET | cafeteria-api/pedidos
07-04-2026 19:39:58 | GET | cafeteria-api/pedidos
07-04-2026 19:39:59 | GET | cafeteria-api/pedidos
07-04-2026 19:41:01 | GET | cafeteria-api/pedidos
07-04-2026 19:41:04 | GET | cafeteria-api/pedidos
07-04-2026 19:41:05 | GET | cafeteria-api/pedidos
07-04-2026 19:41:10 | GET | cafeteria-api/pedidos
07-04-2026 19:41:12 | GET | cafeteria-api/pedidos
07-04-2026 19:41:18 | GET | cafeteria-api/pedidos
07-04-2026 19:41:26 | GET | cafeteria-api/pedidos
07-04-2026 19:41:29 | GET | cafeteria-api/pedidos
07-04-2026 19:41:31 | GET | cafeteria-api/pedidos
07-04-2026 19:41:32 | GET | cafeteria-api/pedidos
07-04-2026 19:41:34 | GET | cafeteria-api/pedidos
07-04-2026 19:41:35 | GET | cafeteria-api/pedidos
07-04-2026 19:41:38 | GET | cafeteria-api/pedidos
07-04-2026 19:41:54 | GET | cafeteria-api/pedidos
07-04-2026 19:41:57 | GET | cafeteria-api/pedidos
07-04-2026 19:42:01 | GET | cafeteria-api/pedidos
07-04-2026 19:42:02 | GET | cafeteria-api/pedidos
07-04-2026 19:42:04 | GET | cafeteria-api/pedidos
07-04-2026 19:42:12 | GET | cafeteria-api/pedidos
07-04-2026 19:42:13 | GET | cafeteria-api/pedidos
07-04-2026 19:42:15 | GET | cafeteria-api/pedidos
07-04-2026 19:42:19 | GET | cafeteria-api/pedidos
07-04-2026 19:42:21 | GET | cafeteria-api/pedidos
07-04-2026 19:50:16 | GET | cafeteria-api/pedidos
07-04-2026 19:50:20 | GET | cafeteria-api/pedidos
07-04-2026 19:50:41 | GET | cafeteria-api/pedidos
07-04-2026 19:50:42 | GET | cafeteria-api/pedidos
07-04-2026 19:50:43 | GET | cafeteria-api/pedidos
07-04-2026 19:50:45 | GET | cafeteria-api/pedidos
07-04-2026 19:50:47 | GET | cafeteria-api/pedidos
07-04-2026 19:50:48 | GET | cafeteria-api/pedidos
07-04-2026 19:53:47 | GET | cafeteria-api/pedidos
07-04-2026 19:53:56 | GET | cafeteria-api/pedidos
07-04-2026 19:53:56 | GET | cafeteria-api/pedidos
07-04-2026 19:54:06 | GET | cafeteria-api/pedidos
07-04-2026 19:54:18 | GET | cafeteria-api/pedidos
07-04-2026 19:54:49 | GET | cafeteria-api/pedidos
07-04-2026 19:55:00 | GET | cafeteria-api/pedidos
07-04-2026 19:55:06 | GET | cafeteria-api/pedidos
07-04-2026 19:55:26 | GET | cafeteria-api/pedidos
07-04-2026 19:55:29 | GET | cafeteria-api/pedidos
07-04-2026 19:56:08 | GET | cafeteria-api/pedidos
07-04-2026 19:56:10 | GET | cafeteria-api/pedidos
07-04-2026 19:57:10 | GET | cafeteria-api/pedidos
07-04-2026 19:57:19 | GET | cafeteria-api/pedidos
07-04-2026 19:57:20 | GET | cafeteria-api/produtos
07-04-2026 19:57:25 | GET | cafeteria-api/pedidos
07-04-2026 19:58:00 | GET | cafeteria-api/pedido-itens
07-04-2026 19:59:26 | GET | cafeteria-api/pedido-itens
07-04-2026 19:59:31 | GET | cafeteria-api/pedidos
07-04-2026 20:00:44 | GET | cafeteria-api/pedidos
07-04-2026 20:00:51 | GET | cafeteria-api/pedidos
07-04-2026 20:00:52 | GET | cafeteria-api/pedidos
07-04-2026 20:00:55 | GET | cafeteria-api/pedidos
07-04-2026 20:01:00 | GET | cafeteria-api/pedidos
07-04-2026 20:01:16 | GET | cafeteria-api/pedido-itens
07-04-2026 20:13:14 | GET | cafeteria-api/produtos.php
07-04-2026 20:13:15 | GET | cafeteria-api/produtos.php
07-04-2026 20:13:20 | GET | cafeteria-api/produtos.php
07-04-2026 20:13:54 | GET | cafeteria-api/pedidos
10-04-2026 12:57:18 | GET | cafeteria-api/pedidos
10-04-2026 12:57:25 | GET | cafeteria-api/pedidos
10-04-2026 13:13:58 | GET | cafeteria-api/pedidos
10-04-2026 13:18:39 | GET | cafeteria-api/pedidos
10-04-2026 13:19:37 | OPTIONS | cafeteria-api/pedidos
10-04-2026 13:19:37 | POST | cafeteria-api/pedidos
10-04-2026 13:19:37 | GET | cafeteria-api/pedidos
10-04-2026 13:19:47 | GET | cafeteria-api/pedidos
10-04-2026 13:19:56 | GET | cafeteria-api/pedidos
10-04-2026 13:21:01 | GET | cafeteria-api/pedidos
